Algoritm,Seed,Max Iter,Initial Temp,Alpha,Energy,Time (s)
SA,0,50000,10,0.7,12884.0,2.822
SA,0,50000,10,0.8,12884.0,3.180
SA,0,50000,10,0.9,12884.0,3.773
SA,0,50000,10,0.99,12946.0,3.248
SA,0,50000,50,0.7,12891.0,3.227
SA,0,50000,50,0.8,12891.0,3.023
SA,0,50000,50,0.9,12783.0,3.679
SA,0,50000,50,0.99,12842.0,3.697
SA,0,50000,100,0.7,12891.0,3.473
SA,0,50000,100,0.8,12914.0,3.092
SA,0,50000,100,0.9,12721.0,3.187
SA,0,50000,100,0.99,12916.0,3.686
SA,0,50000,200,0.7,12891.0,3.459
SA,0,50000,200,0.8,12783.0,3.555
SA,0,50000,200,0.9,12826.0,3.160
SA,0,50000,200,0.99,12809.0,3.022
SA,0,50000,500,0.7,12914.0,2.739
SA,0,50000,500,0.8,12914.0,3.748
SA,0,50000,500,0.9,12973.0,3.117
SA,0,50000,500,0.99,12818.0,3.005
SA,0,50000,1000,0.7,12783.0,3.391
SA,0,50000,1000,0.8,12908.0,3.172
SA,0,50000,1000,0.9,12946.0,3.142
SA,0,50000,1000,0.99,12902.0,3.588
SA,0,50000,2000,0.7,12783.0,3.494
SA,0,50000,2000,0.8,12908.0,3.301
SA,0,50000,2000,0.9,12826.0,3.466
SA,0,50000,2000,0.99,12861.0,3.029
SA,0,50000,5000,0.7,12911.0,2.992
SA,0,50000,5000,0.8,12781.0,3.871
SA,0,50000,5000,0.9,12885.0,3.254
SA,0,50000,5000,0.99,12927.0,2.959
SA,0,75000,10,0.7,12884.0,3.068
SA,0,75000,10,0.8,12884.0,3.092
SA,0,75000,10,0.9,12884.0,2.973
SA,0,75000,10,0.99,12946.0,3.097
SA,0,75000,50,0.7,12891.0,3.723
SA,0,75000,50,0.8,12891.0,2.987
SA,0,75000,50,0.9,12783.0,3.465
SA,0,75000,50,0.99,12842.0,3.236
SA,0,75000,100,0.7,12891.0,3.043
SA,0,75000,100,0.8,12914.0,2.954
SA,0,75000,100,0.9,12721.0,3.431
SA,0,75000,100,0.99,12916.0,3.017
SA,0,75000,200,0.7,12891.0,3.425
SA,0,75000,200,0.8,12783.0,3.266
SA,0,75000,200,0.9,12826.0,3.457
SA,0,75000,200,0.99,12809.0,3.686
SA,0,75000,500,0.7,12914.0,3.100
SA,0,75000,500,0.8,12914.0,3.011
SA,0,75000,500,0.9,12973.0,3.604
SA,0,75000,500,0.99,12818.0,3.558
SA,0,75000,1000,0.7,12783.0,3.431
SA,0,75000,1000,0.8,12908.0,3.077
SA,0,75000,1000,0.9,12946.0,3.160
SA,0,75000,1000,0.99,12902.0,2.933
SA,0,75000,2000,0.7,12783.0,3.446
SA,0,75000,2000,0.8,12908.0,2.969
SA,0,75000,2000,0.9,12826.0,3.210
SA,0,75000,2000,0.99,12861.0,3.197
SA,0,75000,5000,0.7,12911.0,3.581
SA,0,75000,5000,0.8,12781.0,3.127
SA,0,75000,5000,0.9,12885.0,3.451
SA,0,75000,5000,0.99,12927.0,3.425
SA,0,100000,10,0.7,12884.0,3.003
SA,0,100000,10,0.8,12884.0,3.353
SA,0,100000,10,0.9,12884.0,3.371
SA,0,100000,10,0.99,12946.0,3.389
SA,0,100000,50,0.7,12891.0,2.917
SA,0,100000,50,0.8,12891.0,2.803
SA,0,100000,50,0.9,12783.0,3.222
SA,0,100000,50,0.99,12842.0,3.908
SA,0,100000,100,0.7,12891.0,3.566
SA,0,100000,100,0.8,12914.0,3.283
SA,0,100000,100,0.9,12721.0,3.263
SA,0,100000,100,0.99,12916.0,3.506
SA,0,100000,200,0.7,12891.0,3.816
SA,0,100000,200,0.8,12783.0,4.168
SA,0,100000,200,0.9,12826.0,3.163
SA,0,100000,200,0.99,12809.0,2.990
SA,0,100000,500,0.7,12914.0,3.434
SA,0,100000,500,0.8,12914.0,3.319
SA,0,100000,500,0.9,12973.0,3.514
SA,0,100000,500,0.99,12818.0,3.546
SA,0,100000,1000,0.7,12783.0,3.029
SA,0,100000,1000,0.8,12908.0,3.104
SA,0,100000,1000,0.9,12946.0,3.289
SA,0,100000,1000,0.99,12902.0,3.432
SA,0,100000,2000,0.7,12783.0,3.589
SA,0,100000,2000,0.8,12908.0,3.548
SA,0,100000,2000,0.9,12826.0,3.148
SA,0,100000,2000,0.99,12861.0,3.015
SA,0,100000,5000,0.7,12911.0,3.068
SA,0,100000,5000,0.8,12781.0,3.838
SA,0,100000,5000,0.9,12885.0,3.132
SA,0,100000,5000,0.99,12927.0,3.321
SA,1,50000,10,0.7,12845.0,3.388
SA,1,50000,10,0.8,12920.0,3.577
SA,1,50000,10,0.9,12920.0,3.197
SA,1,50000,10,0.99,12882.0,3.207
SA,1,50000,50,0.7,12930.0,3.386
SA,1,50000,50,0.8,12930.0,3.457
SA,1,50000,50,0.9,12893.0,3.534
SA,1,50000,50,0.99,12775.0,3.085
SA,1,50000,100,0.7,12930.0,3.388
SA,1,50000,100,0.8,12930.0,3.706
SA,1,50000,100,0.9,12852.0,2.974
SA,1,50000,100,0.99,12884.0,3.439
SA,1,50000,200,0.7,12833.0,3.538
SA,1,50000,200,0.8,12923.0,3.561
SA,1,50000,200,0.9,12900.0,3.440
SA,1,50000,200,0.99,12773.0,3.106
SA,1,50000,500,0.7,12923.0,2.988
SA,1,50000,500,0.8,12923.0,3.576
SA,1,50000,500,0.9,12862.0,3.456
SA,1,50000,500,0.99,12965.0,3.055
SA,1,50000,1000,0.7,12815.0,3.237
SA,1,50000,1000,0.8,12867.0,2.977
SA,1,50000,1000,0.9,12900.0,2.916
SA,1,50000,1000,0.99,12920.0,2.970
SA,1,50000,2000,0.7,12815.0,3.490
SA,1,50000,2000,0.8,12916.0,3.081
SA,1,50000,2000,0.9,12855.0,3.359
SA,1,50000,2000,0.99,12927.0,3.806
SA,1,50000,5000,0.7,12895.0,3.222
SA,1,50000,5000,0.8,12959.0,3.409
SA,1,50000,5000,0.9,12872.0,3.086
SA,1,50000,5000,0.99,12898.0,3.168
SA,1,75000,10,0.7,12845.0,3.515
SA,1,75000,10,0.8,12920.0,3.404
SA,1,75000,10,0.9,12920.0,3.023
SA,1,75000,10,0.99,12882.0,3.013
SA,1,75000,50,0.7,12930.0,3.114
SA,1,75000,50,0.8,12930.0,3.398
SA,1,75000,50,0.9,12893.0,3.307
SA,1,75000,50,0.99,12775.0,3.804
SA,1,75000,100,0.7,12930.0,3.501
SA,1,75000,100,0.8,12930.0,3.574
SA,1,75000,100,0.9,12852.0,3.324
SA,1,75000,100,0.99,12884.0,3.164
SA,1,75000,200,0.7,12833.0,3.060
SA,1,75000,200,0.8,12923.0,2.594
SA,1,75000,200,0.9,12900.0,3.981
SA,1,75000,200,0.99,12773.0,3.508
SA,1,75000,500,0.7,12923.0,3.094
SA,1,75000,500,0.8,12923.0,2.988
SA,1,75000,500,0.9,12862.0,2.994
SA,1,75000,500,0.99,12965.0,3.757
SA,1,75000,1000,0.7,12815.0,4.276
SA,1,75000,1000,0.8,12867.0,3.623
SA,1,75000,1000,0.9,12900.0,3.269
SA,1,75000,1000,0.99,12920.0,2.946
SA,1,75000,2000,0.7,12815.0,3.462
SA,1,75000,2000,0.8,12916.0,3.039
SA,1,75000,2000,0.9,12855.0,3.137
SA,1,75000,2000,0.99,12927.0,2.970
SA,1,75000,5000,0.7,12895.0,3.139
SA,1,75000,5000,0.8,12959.0,3.517
SA,1,75000,5000,0.9,12872.0,3.068
SA,1,75000,5000,0.99,12898.0,3.119
SA,1,100000,10,0.7,12845.0,3.032
SA,1,100000,10,0.8,12920.0,3.748
SA,1,100000,10,0.9,12920.0,3.608
SA,1,100000,10,0.99,12882.0,2.993
SA,1,100000,50,0.7,12930.0,3.356
SA,1,100000,50,0.8,12930.0,3.551
SA,1,100000,50,0.9,12893.0,3.568
SA,1,100000,50,0.99,12775.0,3.206
SA,1,100000,100,0.7,12930.0,2.954
SA,1,100000,100,0.8,12930.0,3.137
SA,1,100000,100,0.9,12852.0,3.387
SA,1,100000,100,0.99,12884.0,3.064
SA,1,100000,200,0.7,12833.0,3.512
SA,1,100000,200,0.8,12923.0,3.045
SA,1,100000,200,0.9,12900.0,4.219
SA,1,100000,200,0.99,12773.0,3.124
SA,1,100000,500,0.7,12923.0,3.467
SA,1,100000,500,0.8,12923.0,3.371
SA,1,100000,500,0.9,12862.0,3.358
SA,1,100000,500,0.99,12965.0,3.030
SA,1,100000,1000,0.7,12815.0,3.613
SA,1,100000,1000,0.8,12867.0,3.613
SA,1,100000,1000,0.9,12900.0,3.421
SA,1,100000,1000,0.99,12920.0,2.936
SA,1,100000,2000,0.7,12815.0,3.154
SA,1,100000,2000,0.8,12916.0,3.440
SA,1,100000,2000,0.9,12855.0,2.988
SA,1,100000,2000,0.99,12927.0,3.228
SA,1,100000,5000,0.7,12895.0,3.583
SA,1,100000,5000,0.8,12959.0,3.179
SA,1,100000,5000,0.9,12872.0,4.189
SA,1,100000,5000,0.99,12898.0,3.083
SA,2,50000,10,0.7,12808.0,3.019
SA,2,50000,10,0.8,12813.0,4.664
SA,2,50000,10,0.9,12917.0,3.834
SA,2,50000,10,0.99,12893.0,3.257
SA,2,50000,50,0.7,12813.0,3.209
SA,2,50000,50,0.8,12826.0,2.968
SA,2,50000,50,0.9,13010.0,3.400
SA,2,50000,50,0.99,12822.0,3.006
SA,2,50000,100,0.7,12884.0,4.134
SA,2,50000,100,0.8,13010.0,3.380
SA,2,50000,100,0.9,12822.0,3.067
SA,2,50000,100,0.99,12870.0,3.575
SA,2,50000,200,0.7,12826.0,3.475
SA,2,50000,200,0.8,13010.0,3.326
SA,2,50000,200,0.9,12952.0,3.661
SA,2,50000,200,0.99,12881.0,3.156
SA,2,50000,500,0.7,12863.0,3.119
SA,2,50000,500,0.8,12864.0,3.045
SA,2,50000,500,0.9,12876.0,3.132
SA,2,50000,500,0.99,12900.0,3.004
SA,2,50000,1000,0.7,12929.0,4.210
SA,2,50000,1000,0.8,12849.0,2.965
SA,2,50000,1000,0.9,12921.0,3.090
SA,2,50000,1000,0.99,12795.0,3.358
SA,2,50000,2000,0.7,12822.0,3.185
SA,2,50000,2000,0.8,12850.0,3.022
SA,2,50000,2000,0.9,12851.0,3.289
SA,2,50000,2000,0.99,12896.0,3.102
SA,2,50000,5000,0.7,12849.0,2.989
SA,2,50000,5000,0.8,12825.0,3.655
SA,2,50000,5000,0.9,12910.0,3.503
SA,2,50000,5000,0.99,12873.0,3.483
SA,2,75000,10,0.7,12808.0,3.195
SA,2,75000,10,0.8,12813.0,3.105
SA,2,75000,10,0.9,12917.0,3.912
SA,2,75000,10,0.99,12893.0,3.314
SA,2,75000,50,0.7,12813.0,2.966
SA,2,75000,50,0.8,12826.0,3.159
SA,2,75000,50,0.9,13010.0,3.645
SA,2,75000,50,0.99,12822.0,3.996
SA,2,75000,100,0.7,12884.0,3.851
SA,2,75000,100,0.8,13010.0,3.311
SA,2,75000,100,0.9,12822.0,3.410
SA,2,75000,100,0.99,12870.0,3.595
SA,2,75000,200,0.7,12826.0,3.123
SA,2,75000,200,0.8,13010.0,3.766
SA,2,75000,200,0.9,12952.0,3.007
SA,2,75000,200,0.99,12881.0,3.495
SA,2,75000,500,0.7,12863.0,3.066
SA,2,75000,500,0.8,12864.0,3.071
SA,2,75000,500,0.9,12876.0,3.154
SA,2,75000,500,0.99,12900.0,3.553
SA,2,75000,1000,0.7,12929.0,3.605
SA,2,75000,1000,0.8,12849.0,3.852
SA,2,75000,1000,0.9,12921.0,3.564
SA,2,75000,1000,0.99,12795.0,3.515
SA,2,75000,2000,0.7,12822.0,3.508
SA,2,75000,2000,0.8,12850.0,3.138
SA,2,75000,2000,0.9,12851.0,3.021
SA,2,75000,2000,0.99,12896.0,3.462
SA,2,75000,5000,0.7,12849.0,3.406
SA,2,75000,5000,0.8,12825.0,2.975
SA,2,75000,5000,0.9,12910.0,3.161
SA,2,75000,5000,0.99,12873.0,3.157
SA,2,100000,10,0.7,12808.0,2.950
SA,2,100000,10,0.8,12813.0,3.052
SA,2,100000,10,0.9,12917.0,3.144
SA,2,100000,10,0.99,12893.0,3.542
SA,2,100000,50,0.7,12813.0,3.096
SA,2,100000,50,0.8,12826.0,3.388
SA,2,100000,50,0.9,13010.0,3.417
SA,2,100000,50,0.99,12822.0,3.438
SA,2,100000,100,0.7,12884.0,3.578
SA,2,100000,100,0.8,13010.0,3.127
SA,2,100000,100,0.9,12822.0,3.166
SA,2,100000,100,0.99,12870.0,3.570
SA,2,100000,200,0.7,12826.0,3.137
SA,2,100000,200,0.8,13010.0,3.110
SA,2,100000,200,0.9,12952.0,3.745
SA,2,100000,200,0.99,12881.0,3.088
SA,2,100000,500,0.7,12863.0,3.823
SA,2,100000,500,0.8,12864.0,2.993
SA,2,100000,500,0.9,12876.0,2.934
SA,2,100000,500,0.99,12900.0,3.436
SA,2,100000,1000,0.7,12929.0,3.111
SA,2,100000,1000,0.8,12849.0,3.669
SA,2,100000,1000,0.9,12921.0,3.610
SA,2,100000,1000,0.99,12795.0,3.227
SA,2,100000,2000,0.7,12822.0,3.438
SA,2,100000,2000,0.8,12850.0,2.876
SA,2,100000,2000,0.9,12851.0,3.982
SA,2,100000,2000,0.99,12896.0,3.172
SA,2,100000,5000,0.7,12849.0,2.998
SA,2,100000,5000,0.8,12825.0,3.850
SA,2,100000,5000,0.9,12910.0,3.451
SA,2,100000,5000,0.99,12873.0,3.181
SA,3,50000,10,0.7,12886.0,3.144
SA,3,50000,10,0.8,12886.0,3.204
SA,3,50000,10,0.9,12943.0,3.267
SA,3,50000,10,0.99,12916.0,3.921
SA,3,50000,50,0.7,12886.0,3.977
SA,3,50000,50,0.8,12943.0,2.998
SA,3,50000,50,0.9,12804.0,3.411
SA,3,50000,50,0.99,12966.0,3.666
SA,3,50000,100,0.7,12943.0,3.859
SA,3,50000,100,0.8,12804.0,3.036
SA,3,50000,100,0.9,12948.0,3.490
SA,3,50000,100,0.99,12897.0,3.173
SA,3,50000,200,0.7,12943.0,3.885
SA,3,50000,200,0.8,12804.0,3.784
SA,3,50000,200,0.9,12886.0,3.358
SA,3,50000,200,0.99,12818.0,3.540
SA,3,50000,500,0.7,12804.0,3.178
SA,3,50000,500,0.8,12847.0,3.695
SA,3,50000,500,0.9,12836.0,3.749
SA,3,50000,500,0.99,12906.0,2.955
SA,3,50000,1000,0.7,12965.0,3.019
SA,3,50000,1000,0.8,12905.0,3.045
SA,3,50000,1000,0.9,12952.0,2.975
SA,3,50000,1000,0.99,12866.0,3.585
SA,3,50000,2000,0.7,12775.0,3.191
SA,3,50000,2000,0.8,12905.0,3.112
SA,3,50000,2000,0.9,12904.0,3.019
SA,3,50000,2000,0.99,12920.0,3.763
SA,3,50000,5000,0.7,12905.0,3.453
SA,3,50000,5000,0.8,12859.0,3.200
SA,3,50000,5000,0.9,12923.0,3.396
SA,3,50000,5000,0.99,12863.0,2.995
SA,3,75000,10,0.7,12886.0,3.057
SA,3,75000,10,0.8,12886.0,3.400
SA,3,75000,10,0.9,12943.0,3.225
SA,3,75000,10,0.99,12916.0,3.088
SA,3,75000,50,0.7,12886.0,3.062
SA,3,75000,50,0.8,12943.0,3.567
SA,3,75000,50,0.9,12804.0,4.033
SA,3,75000,50,0.99,12966.0,3.287
SA,3,75000,100,0.7,12943.0,3.131
SA,3,75000,100,0.8,12804.0,3.295
SA,3,75000,100,0.9,12948.0,3.125
SA,3,75000,100,0.99,12897.0,3.388
SA,3,75000,200,0.7,12943.0,2.984
SA,3,75000,200,0.8,12804.0,3.571
SA,3,75000,200,0.9,12886.0,3.436
SA,3,75000,200,0.99,12818.0,3.570
SA,3,75000,500,0.7,12804.0,3.362
SA,3,75000,500,0.8,12847.0,3.380
SA,3,75000,500,0.9,12836.0,3.114
SA,3,75000,500,0.99,12906.0,3.113
SA,3,75000,1000,0.7,12965.0,3.455
SA,3,75000,1000,0.8,12905.0,3.166
SA,3,75000,1000,0.9,12952.0,3.475
SA,3,75000,1000,0.99,12866.0,2.982
SA,3,75000,2000,0.7,12775.0,3.702
SA,3,75000,2000,0.8,12905.0,3.264
SA,3,75000,2000,0.9,12904.0,3.019
SA,3,75000,2000,0.99,12920.0,3.438
SA,3,75000,5000,0.7,12905.0,2.996
SA,3,75000,5000,0.8,12859.0,3.148
SA,3,75000,5000,0.9,12923.0,3.376
SA,3,75000,5000,0.99,12863.0,2.958
SA,3,100000,10,0.7,12886.0,3.225
SA,3,100000,10,0.8,12886.0,3.097
SA,3,100000,10,0.9,12943.0,3.305
SA,3,100000,10,0.99,12916.0,2.999
SA,3,100000,50,0.7,12886.0,2.980
SA,3,100000,50,0.8,12943.0,3.505
SA,3,100000,50,0.9,12804.0,3.397
SA,3,100000,50,0.99,12966.0,3.170
SA,3,100000,100,0.7,12943.0,3.234
SA,3,100000,100,0.8,12804.0,3.134
SA,3,100000,100,0.9,12948.0,3.314
SA,3,100000,100,0.99,12897.0,2.982
SA,3,100000,200,0.7,12943.0,3.717
SA,3,100000,200,0.8,12804.0,3.606
SA,3,100000,200,0.9,12886.0,3.033
SA,3,100000,200,0.99,12818.0,3.438
SA,3,100000,500,0.7,12804.0,3.550
SA,3,100000,500,0.8,12847.0,3.377
SA,3,100000,500,0.9,12836.0,3.323
SA,3,100000,500,0.99,12906.0,3.456
SA,3,100000,1000,0.7,12965.0,3.513
SA,3,100000,1000,0.8,12905.0,3.024
SA,3,100000,1000,0.9,12952.0,3.924
SA,3,100000,1000,0.99,12866.0,3.313
SA,3,100000,2000,0.7,12775.0,3.136
SA,3,100000,2000,0.8,12905.0,3.090
SA,3,100000,2000,0.9,12904.0,3.180
SA,3,100000,2000,0.99,12920.0,3.486
SA,3,100000,5000,0.7,12905.0,3.569
SA,3,100000,5000,0.8,12859.0,3.637
SA,3,100000,5000,0.9,12923.0,3.112
SA,3,100000,5000,0.99,12863.0,3.362
SA,4,50000,10,0.7,12834.0,2.974
SA,4,50000,10,0.8,12834.0,3.383
SA,4,50000,10,0.9,12834.0,3.035
SA,4,50000,10,0.99,12928.0,3.116
SA,4,50000,50,0.7,12834.0,3.579
SA,4,50000,50,0.8,12834.0,3.241
SA,4,50000,50,0.9,12908.0,3.840
SA,4,50000,50,0.99,12941.0,2.967
SA,4,50000,100,0.7,12853.0,3.151
SA,4,50000,100,0.8,12908.0,3.095
SA,4,50000,100,0.9,12663.0,3.232
SA,4,50000,100,0.99,13018.0,3.439
SA,4,50000,200,0.7,12908.0,3.894
SA,4,50000,200,0.8,12908.0,3.188
SA,4,50000,200,0.9,12923.0,3.729
SA,4,50000,200,0.99,12913.0,3.687
SA,4,50000,500,0.7,12908.0,2.979
SA,4,50000,500,0.8,12663.0,2.982
SA,4,50000,500,0.9,12929.0,3.513
SA,4,50000,500,0.99,12886.0,3.450
SA,4,50000,1000,0.7,12908.0,3.357
SA,4,50000,1000,0.8,12954.0,2.917
SA,4,50000,1000,0.9,12886.0,3.452
SA,4,50000,1000,0.99,12908.0,3.504
SA,4,50000,2000,0.7,12908.0,2.959
SA,4,50000,2000,0.8,12954.0,3.112
SA,4,50000,2000,0.9,12865.0,3.582
SA,4,50000,2000,0.99,12805.0,3.572
SA,4,50000,5000,0.7,12954.0,3.004
SA,4,50000,5000,0.8,12954.0,3.110
SA,4,50000,5000,0.9,12911.0,3.150
SA,4,50000,5000,0.99,12933.0,2.878
SA,4,75000,10,0.7,12834.0,3.012
SA,4,75000,10,0.8,12834.0,3.305
SA,4,75000,10,0.9,12834.0,3.508
SA,4,75000,10,0.99,12928.0,3.080
SA,4,75000,50,0.7,12834.0,2.802
SA,4,75000,50,0.8,12834.0,3.475
SA,4,75000,50,0.9,12908.0,3.283
SA,4,75000,50,0.99,12941.0,3.501
SA,4,75000,100,0.7,12853.0,3.079
SA,4,75000,100,0.8,12908.0,2.934
SA,4,75000,100,0.9,12663.0,3.372
SA,4,75000,100,0.99,13018.0,3.475
SA,4,75000,200,0.7,12908.0,3.129
SA,4,75000,200,0.8,12908.0,3.528
SA,4,75000,200,0.9,12923.0,3.521
SA,4,75000,200,0.99,12913.0,3.164
SA,4,75000,500,0.7,12908.0,3.503
SA,4,75000,500,0.8,12663.0,3.257
SA,4,75000,500,0.9,12929.0,3.548
SA,4,75000,500,0.99,12886.0,2.988
SA,4,75000,1000,0.7,12908.0,3.203
SA,4,75000,1000,0.8,12954.0,3.324
SA,4,75000,1000,0.9,12886.0,2.970
SA,4,75000,1000,0.99,12908.0,3.098
SA,4,75000,2000,0.7,12908.0,2.970
SA,4,75000,2000,0.8,12954.0,3.177
SA,4,75000,2000,0.9,12865.0,3.119
SA,4,75000,2000,0.99,12805.0,3.427
SA,4,75000,5000,0.7,12954.0,3.437
SA,4,75000,5000,0.8,12954.0,3.141
SA,4,75000,5000,0.9,12911.0,3.171
SA,4,75000,5000,0.99,12933.0,3.642
SA,4,100000,10,0.7,12834.0,3.289
SA,4,100000,10,0.8,12834.0,3.304
SA,4,100000,10,0.9,12834.0,3.965
SA,4,100000,10,0.99,12928.0,3.692
SA,4,100000,50,0.7,12834.0,3.835
SA,4,100000,50,0.8,12834.0,2.990
SA,4,100000,50,0.9,12908.0,3.935
SA,4,100000,50,0.99,12941.0,3.497
SA,4,100000,100,0.7,12853.0,3.705
SA,4,100000,100,0.8,12908.0,3.683
SA,4,100000,100,0.9,12663.0,3.572
SA,4,100000,100,0.99,13018.0,3.028
SA,4,100000,200,0.7,12908.0,3.152
SA,4,100000,200,0.8,12908.0,3.465
SA,4,100000,200,0.9,12923.0,3.974
SA,4,100000,200,0.99,12913.0,3.558
SA,4,100000,500,0.7,12908.0,3.255
SA,4,100000,500,0.8,12663.0,3.041
SA,4,100000,500,0.9,12929.0,3.403
SA,4,100000,500,0.99,12886.0,3.105
SA,4,100000,1000,0.7,12908.0,3.802
SA,4,100000,1000,0.8,12954.0,3.590
SA,4,100000,1000,0.9,12886.0,3.033
SA,4,100000,1000,0.99,12908.0,3.200
SA,4,100000,2000,0.7,12908.0,3.067
SA,4,100000,2000,0.8,12954.0,3.132
SA,4,100000,2000,0.9,12865.0,3.948
SA,4,100000,2000,0.99,12805.0,3.544
SA,4,100000,5000,0.7,12954.0,2.959
SA,4,100000,5000,0.8,12954.0,3.412
SA,4,100000,5000,0.9,12911.0,3.710
